date,gross_return,strategy_return,turnover,trading_cost,equity_exposure,cash_weight,benchmark_return,classic_momentum_return,classic_equity_exposure,equal_weight_return,strategy_nav,classic_momentum_nav,benchmark_nav,equal_weight_nav,strategy_value,classic_momentum_value,benchmark_value,equal_weight_value
2019-11-05,0.013153358832428791,0.013153358832428852,0.0,0.0,0.9999999999999996,4.440892098500626e-16,0.006206449277548209,0.033769405013989395,1.0,0.013295870901375517,1.0644517789824024,1.2002512108215384,1.052410036098616,1.1045407553949977,106445.17789824025,120025.12108215384,105241.0036098616,110454.07553949977
2019-11-06,0.005737727773557173,0.0057377277735570775,0.0,0.0,0.9999999999999999,1.1102230246251565e-16,-0.0044793532543387915,-0.0027353043614760653,1.0,0.004049511914130832,1.070559313518282,1.1969681584497114,1.0476959197785187,1.109013606343613,107055.9313518282,119696.81584497113,104769.59197785187,110901.36063436129
2019-11-07,-0.0012476479330363057,-0.0012476479330363333,0.0,0.0,0.9999999999999998,2.220446049250313e-16,0.0017566400995763232,-0.001798663422782898,1.0000000000000002,-0.0019524802905908079,1.0692236324035782,1.1948152156048721,1.049536344443364,1.1068482791352299,106922.36324035782,119481.52156048722,104953.6344443364,110684.82791352298
2019-11-08,3.615709979315925e-05,3.6157099793099334e-05,0.0,0.0,0.9999999999999999,1.1102230246251565e-16,-0.0047270960048898525,0.0026296786267010486,1.0000000000000002,-0.0005536116387385714,1.0692622924291562,1.1979571956402055,1.044575085382559,1.106235515045583,106926.22924291562,119795.71956402055,104457.5085382559,110623.55150455829
2019-11-11,-0.024537782691371225,-0.02453778269137119,0.0,0.0,0.9999999999999998,2.220446049250313e-16,-0.017626434365883847,-0.03297241990180244,1.0,-0.02453581855214504,1.043024966657452,1.158457647961171,1.0261629511998258,1.079093121172486,104302.4966657452,115845.7647961171,102616.29511998258,107909.31211724858
2019-11-12,-0.004798783876309936,-0.004798783876309942,0.0,0.0,0.9999999999999998,2.220446049250313e-16,0.00018191228240982404,-0.017493152641334664,1.0,-0.005187336851307567,1.0380197152648676,1.1381925714968648,1.026349622844403,1.0734955016590353,103801.97152648676,113819.25714968648,102634.96228444029,107349.55016590352
2019-11-13,0.009752079067976514,0.009752079067976593,0.0,0.0,0.9999999999999999,1.1102230246251565e-16,-0.0009503828428999439,0.026253713928159117,1.0,0.006339506693947561,1.0481425656022492,1.1680743536640994,1.0253741977720348,1.0803009335777254,104814.25656022492,116807.43536640993,102537.41977720348,108030.09335777254
2019-11-14,-0.0007467304142575446,-0.0007467304142575459,0.0,0.0,0.9999999999999997,3.3306690738754696e-16,0.001507700039487414,0.0004839001871181914,1.0,-0.0006325517845660045,1.0473598856700361,1.1686395850624054,1.026920154490505,1.0796175872943226,104735.98856700362,116863.95850624054,102692.01544905051,107961.75872943226
2019-11-15,-0.008564627193056172,-0.008564627193056173,0.0,0.0,0.9999999999999997,3.3306690738754696e-16,-0.007365855407003852,-0.007290360201289703,1.0,-0.008757713313727433,1.0383896387123104,1.1601197815418147,1.01935600911799,1.0701626059763407,103838.96387123104,116011.97815418147,101935.600911799,107016.26059763407
2019-11-18,0.0036958239732064416,0.003695823973206336,0.0,0.0,0.9999999999999999,1.1102230246251565e-16,0.007954419422814496,-0.005566974730634389,1.0,0.005196837155943879,1.0422273440325924,1.1536614240334624,1.027464394355681,1.0757240667699803,104222.73440325924,115366.14240334624,102746.4394355681,107572.40667699803
2019-11-19,0.017857299495008142,0.01785729949500814,0.0,0.0,0.9999999999999999,1.1102230246251565e-16,0.010007855821368317,0.03193241199734009,1.0,0.01935550833770261,1.0608387098568692,1.1905006159311369,1.037747109875982,1.096545252913414,106083.87098568692,119050.06159311369,103774.71098759821,109654.52529134142
2019-11-20,-0.012161584740505492,-0.012161584740505438,0.0,0.0,0.9999999999999997,3.3306690738754696e-16,-0.009926425878633016,-0.019409987114542893,0.9999999999999998,-0.01304625811179183,1.0479372299909364,1.167393014316058,1.0274459901090325,1.0822394405126456,104793.72299909365,116739.3014316058,102744.59901090324,108223.94405126457
2019-11-21,0.00013669317430587205,0.00013669317430586858,0.0,0.0,0.9999999999999998,2.220446049250313e-16,-0.004672634127118269,-0.012325271860970988,0.9999999999999999,-0.0036430149806037093,1.0480804758573772,1.1530045780460143,1.0226451109118782,1.078296826018258,104808.04758573772,115300.45780460144,102264.51109118781,107829.6826018258
2019-11-22,-0.012757567823616986,-0.012757567823617033,0.0,0.0,0.9999999999999997,3.3306690738754696e-16,-0.010183566433566438,-0.03251987682694257,0.9999999999999998,-0.012881381098186484,1.0347095181020178,1.115509011187057,1.012230936486945,1.0644068736653518,103470.95181020179,111550.90111870569,101223.0936486945,106440.68736653517
2019-11-25,0.015673954661738907,0.01567395466173882,0.0,0.0,0.9999999999999998,2.220446049250313e-16,0.00732988916854338,0.0012744627869638592,0.9999999999999998,0.014512848428850367,1.0509275081768186,1.1169306859103376,1.0196504770643653,1.0798544492894835,105092.75081768185,111693.06859103376,101965.04770643653,107985.44492894835
2019-11-26,0.011140513607129037,0.011140513607128977,0.0,0.0,1.0,0.0,0.0034655163077812468,0.014623170443192723,0.9999999999999999,0.01188531088957867,1.0626353803817685,1.1332637537036367,1.0231840924208688,1.0926888551347838,106263.53803817685,113326.37537036368,102318.40924208688,109268.88551347838
